{'kernel': 'linear', 'degree': 2, 'gamma': 0.85, 'coef0': 0.12, 'C': 15, 'epsilon': 0.29, 'rsme': 8.221455066899876}
{'kernel': 'linear', 'degree': 3, 'gamma': 0.22, 'coef0': 0.98, 'C': 62, 'epsilon': 0.4, 'rsme': 9.594505753695222}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.12, 'coef0': 0.39, 'C': 56, 'epsilon': 0.12, 'rsme': 121.489314761488}
{'kernel': 'linear', 'degree': 3, 'gamma': 0.84, 'coef0': 0.89, 'C': 5, 'epsilon': 0.13, 'rsme': 7.385619516107443}
{'kernel': 'linear', 'degree': 3, 'gamma': 0.62, 'coef0': 0.68, 'C': 74, 'epsilon': 0.19, 'rsme': 7.6526614923963745}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.8, 'coef0': 0.22, 'C': 71, 'epsilon': 0.39, 'rsme': 8.888394203798896}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.84, 'coef0': 0.39, 'C': 83, 'epsilon': 0.23, 'rsme': 7.431085228991793}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.62, 'coef0': 0.49, 'C': 80, 'epsilon': 0.47, 'rsme': 12.284378664079926}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.84, 'coef0': 0.68, 'C': 43, 'epsilon': 0.29, 'rsme': 8.012010234752063}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.54, 'coef0': 0.29, 'C': 58, 'epsilon': 0.27, 'rsme': 2353.628337095261}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.65, 'coef0': 0.84, 'C': 23, 'epsilon': 0.16, 'rsme': 7.119828932315424}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.95, 'coef0': 0.17, 'C': 78, 'epsilon': 0.33, 'rsme': 6567.0269824921}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.16, 'coef0': 0.35, 'C': 4, 'epsilon': 0.29, 'rsme': 8.282334152585454}
{'kernel': 'linear', 'degree': 3, 'gamma': 0.83, 'coef0': 0.56, 'C': 64, 'epsilon': 0.42, 'rsme': 9.508585067731682}
