,criterion,splitter,max_depth,max_features,rsme
417,friedman_mse,random,9.0,0.15,0.09610009597272895
418,friedman_mse,best,1.0,0.67,0.10317897996045085
419,mae,random,7.0,0.61,0.09684471039235164
420,mae,random,5.0,0.14,0.099733574795544
421,mse,best,7.0,0.15,0.12010962948309396
422,mse,random,4.0,0.41,0.09551094543186446
423,friedman_mse,random,2.0,0.99,0.09864823570547823
424,mae,best,5.0,0.28,0.10923784202459977
425,mse,best,7.0,0.85,0.2595890200463753
426,mae,random,9.0,0.76,0.09747780704261093
427,mse,random,8.0,0.22,0.09571508991367948
428,mse,random,8.0,0.7,0.09722507610339447
429,mae,random,8.0,0.62,0.10004205398642652
430,mae,random,7.0,0.1,0.09640998640392012
431,friedman_mse,best,8.0,0.84,0.12094387403545727
432,friedman_mse,random,9.0,0.7,0.09642043307501734
433,friedman_mse,random,6.0,0.12,0.09509107988535809
434,mse,random,6.0,0.68,0.09472448002993045
435,friedman_mse,random,,0.96,0.2090379168127126
436,mae,best,2.0,0.28,0.09727540878194736
437,friedman_mse,random,,0.57,0.10108312598706136
438,mae,best,3.0,0.59,0.0950931322141334
439,mse,best,7.0,0.98,0.09561640261613526
440,friedman_mse,best,4.0,0.91,0.10067148968907194
441,mae,best,3.0,0.48,0.09733227885911039
442,mse,best,3.0,0.95,0.0971477127548319
443,friedman_mse,best,2.0,0.33,0.0950510083916903
444,mse,best,7.0,0.22,0.09634233110292831
445,mse,best,8.0,0.42,0.09580769874800973
446,mse,random,7.0,0.67,0.09869459036226992
447,mae,random,7.0,0.41,0.0976944493163647
448,friedman_mse,best,6.0,0.76,0.09482317277763681
449,friedman_mse,random,7.0,0.94,0.10034632813773106
450,friedman_mse,best,8.0,0.31,0.13211091900393182
451,mse,best,6.0,0.33,0.11389302647520598
452,mae,random,,0.39,0.10368181175773963
453,mae,random,4.0,0.58,0.09728914890588203
454,friedman_mse,best,6.0,0.4,0.09950217310889312
455,mae,best,9.0,0.27,0.09713412760148024
456,mae,best,1.0,0.43,0.09610100347983067
457,mae,random,4.0,0.93,0.09669532193292905
458,mae,best,9.0,0.36,0.0967563842315217
459,mse,best,,0.44,0.28322792736755087
460,mse,best,7.0,0.68,0.0968427998050106
461,friedman_mse,best,3.0,0.37,0.09669676280669834
462,mse,random,4.0,0.36,0.09499021738227155
463,friedman_mse,best,8.0,0.82,0.09861612349433509
464,mae,best,4.0,0.71,0.11348902969632646
465,mse,random,7.0,0.73,0.09867275762062432
466,mse,best,6.0,0.81,0.10376087828525175
467,friedman_mse,best,3.0,0.54,0.09665319641079
468,friedman_mse,best,2.0,0.89,0.09603294472089437
469,mae,best,2.0,0.99,0.09831809867314126
470,friedman_mse,best,2.0,0.31,0.09558270561839606
471,mse,random,6.0,0.93,0.09791110358787586
472,friedman_mse,random,4.0,0.87,0.09549099066732267
473,mae,random,5.0,0.54,0.0983593579268934
474,friedman_mse,random,9.0,0.28,0.09742985581641052
475,mae,best,9.0,0.68,0.09787158502599853
476,friedman_mse,random,5.0,0.65,0.09738379484693138
477,mse,best,,0.65,0.10675404966316641
478,mse,random,,0.14,0.11362053677010468
479,mse,best,,0.56,0.10013992124628819
480,mse,best,7.0,0.92,0.09769452827261253
481,mae,best,6.0,0.52,0.09723990537892148
482,friedman_mse,random,3.0,0.88,0.09567999701916925
483,friedman_mse,random,2.0,0.89,0.09566489365981921
484,friedman_mse,best,,0.92,0.17832814995680923
