,criterion,max_depth,n_estimators,random_state,rsme
565,mse,1.0,33,36,0.09667938833028747
566,mse,4.0,70,85,0.09612274304161222
567,mae,3.0,31,98,0.09642646085815297
568,mse,7.0,99,94,0.09651061309784581
569,mse,,44,58,0.12244164156231478
570,mae,9.0,98,67,0.09547169464212839
571,mae,7.0,60,28,0.10262696162257606
572,mse,6.0,99,60,0.09626144050975378
573,mae,,26,33,0.13917734976429158
574,mae,3.0,28,81,0.0959424769716864
575,mse,6.0,22,56,0.09936872123910083
576,mse,1.0,35,92,0.10401680603721608
577,mae,,27,28,0.09623216312025339
578,mae,5.0,24,55,0.09730808644257036
579,mse,3.0,89,18,0.09789871061348132
580,mae,2.0,63,33,0.09637621463496678
581,mae,,78,67,0.10812348304149934
582,mse,,17,18,0.10022253076922276
583,mse,1.0,40,69,0.10553253049395951
584,mae,5.0,42,28,0.10164446326919588
585,mse,,85,53,0.1042179553740949
586,mae,6.0,50,52,0.10260801861079853
587,mae,,70,41,0.13796946073367047
588,mse,4.0,14,21,0.10593445503281339
589,mae,3.0,76,16,0.10107369742431616
590,mae,2.0,65,72,0.10200440925575634
591,mse,7.0,97,82,0.0966923515377141
592,mae,8.0,85,88,0.09853455468666515
593,mae,7.0,53,72,0.0962357146677325
594,mse,7.0,99,89,0.1190438997724349
595,mae,3.0,22,56,0.09829465354981741
596,mse,8.0,22,75,0.1322653017742556
597,mae,9.0,12,32,0.09615159355915572
598,mae,5.0,41,79,0.09560662122591436
599,mae,6.0,48,14,0.09763122198651529
600,mae,,62,73,0.0983245689473269
601,mse,8.0,80,19,0.09646948942341713
602,mse,4.0,56,44,0.09506281185387078
603,mae,7.0,96,91,0.09773100652226349
604,mae,5.0,71,89,0.0965033138632627
605,mse,4.0,83,67,0.09891610871822396
606,mae,4.0,28,44,0.10249552136875327
607,mse,2.0,70,45,0.1060437190993135
608,mae,4.0,56,70,0.09665400032791642
609,mae,4.0,60,61,0.09839539740790085
610,mae,,77,11,0.0972724820544621
611,mse,2.0,74,62,0.10376355777896548
612,mse,7.0,70,31,0.09582828937306065
613,mae,3.0,49,56,0.09742488426133702
614,mse,6.0,16,89,0.09830998517581839
615,mae,6.0,52,80,0.09736121249487449
616,mae,5.0,49,75,0.09943083915010224
617,mae,1.0,70,74,0.09848023323616345
618,mae,,33,91,0.12781797583595889
619,mae,3.0,30,65,0.09582287077968836
620,mse,3.0,97,94,0.09746148000265814
621,mae,4.0,22,76,0.09669934645948072
622,mae,,10,33,0.15435705359032653
623,mae,9.0,64,16,0.09678877607633828
624,mae,1.0,54,82,0.09787666462482447
625,mse,8.0,38,62,0.09742254632552734
626,mse,4.0,73,97,0.09715132852073534
627,mae,3.0,72,99,0.10237093561309707
628,mae,7.0,20,32,0.1051012252859431
629,mae,6.0,31,60,0.10132445335628888
630,mae,,33,56,0.10413920279068428
631,mae,,26,47,0.11082478435098474
632,mae,6.0,80,80,0.10369935569246375
633,mse,1.0,60,80,0.09667853939353868
634,mae,7.0,63,58,0.09761931790085003
635,mae,5.0,70,71,0.1070331941101297
636,mse,1.0,45,65,0.09813047478976128
637,mse,6.0,59,16,0.10159132883002854
