,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,random_state,rsme
383,mae,77.0,0.52,0.61,91,35,0.09604751034675246
384,mse,84.0,0.73,0.62,253,78,0.0956585986455432
385,mae,92.0,0.8,0.64,553,12,0.09559935263563152
386,mse,9.0,0.96,0.91,771,40,0.09627904023032627
387,mse,42.0,0.27,0.57,715,26,0.0962796973004013
388,mse,72.0,0.95,0.23,704,70,0.09665493988083694
389,mae,84.0,0.5,0.46,114,30,0.09594698483436043
390,mse,25.0,0.17,0.69,311,71,0.09684138464086345
391,mse,88.0,0.87,0.75,572,44,0.09710212744298906
392,mse,11.0,0.94,0.22,237,70,0.09636733354299058
393,mae,,0.7,0.82,83,53,0.09632446060722528
394,mae,3.0,0.56,0.44,324,34,0.09725210365351657
395,mse,11.0,0.35,0.11,855,46,0.09593483265233983
396,mae,34.0,0.1,0.2,92,31,0.09540454748319334
397,mse,43.0,0.24,0.73,807,97,0.09767278021662985
398,mae,88.0,0.5,0.12,656,94,0.09661436413684132
399,mae,97.0,0.69,0.86,352,58,0.09700857393450284
400,mae,60.0,0.19,0.78,396,80,0.095777198905271
401,mse,52.0,0.42,0.74,181,12,0.0965854196145415
402,mae,68.0,0.26,0.39,434,61,0.09667192632444402
403,mse,4.0,0.96,0.54,652,52,0.09539639776125877
404,mse,17.0,0.88,0.47,517,68,0.096128515595514
405,mse,31.0,0.71,0.51,725,36,0.09650912380075256
406,mse,47.0,0.83,0.16,826,23,0.09688734089629791
407,mse,88.0,0.29,0.65,471,94,0.09596198562975293
408,mse,27.0,0.39,0.13,790,57,0.09601942558732642
409,mae,13.0,0.53,0.59,41,87,0.09787238131367203
410,mse,44.0,0.73,0.13,602,67,0.09602484465446973
411,mae,27.0,0.99,0.43,594,93,0.09624308840953208
412,mae,27.0,0.89,0.87,594,96,0.09633272893394215
413,mse,55.0,0.46,0.76,748,79,0.09600011772686859
414,mse,97.0,0.68,0.26,32,99,0.09676136592916922
415,mae,89.0,0.23,0.81,404,27,0.09651379657913474
416,mse,93.0,0.53,0.27,752,65,0.09595819092917383
417,mse,26.0,0.53,0.6,493,15,0.09717154468532814
418,mae,98.0,0.48,0.24,319,12,0.09677122850857686
419,mse,75.0,0.67,0.52,52,82,0.09524132923404553
420,mae,98.0,0.76,0.29,170,53,0.09504911747246554
421,mse,46.0,0.37,0.18,305,55,0.09611811004211582
422,mse,47.0,0.4,0.34,264,98,0.09649173488828866
423,mse,19.0,0.36,0.43,40,93,0.09740068728714814
424,mse,41.0,0.34,0.67,80,89,0.09573866124791308
425,mse,81.0,0.98,0.27,362,64,0.09688409542809497
426,mae,53.0,0.58,0.8,639,36,0.09636403829781241
427,mae,84.0,0.8,0.36,609,78,0.09636761002126627
428,mse,58.0,0.95,0.26,313,50,0.09537423551142976
429,mae,3.0,0.81,0.71,857,86,0.09756572408457474
430,mae,97.0,0.26,0.47,412,46,0.09599824802633046
431,mae,47.0,0.49,0.35,823,26,0.09609315909267808
432,mae,33.0,0.93,0.73,467,97,0.09661214243889255
433,mae,75.0,0.32,0.25,648,55,0.09696163262235166
